user_id,item_id,rating
420272,2260466,5.0
273551,153475,5.0
360448,1063761,5.0
909926,126335,4.0
151944,616682,5.0
734848,364092,4.0
336066,568429,5.0
86661,130259,5.0
166228,1729232,5.0
154309,1729232,5.0
185966,1077123,4.0
533900,130259,4.0
87660,1295171,5.0
391778,143094,4.0
721308,123793,5.0
829124,2595752,5.0
499943,909221,5.0
339899,1622747,5.0
649288,172027,4.0
16800,1229740,5.0
661150,900878,5.0
983550,197391,4.0
871659,2736018,5.0
497541,382883,4.0
862005,134393,5.0
85200,875667,4.0
289165,241461,5.0
610914,1739627,5.0
205922,149913,4.0
513479,1133906,5.0
110746,872951,5.0
854094,123373,5.0
335467,2155094,5.0
845755,387552,5.0
681609,203856,4.0
858777,1364569,5.0
729616,1064397,4.0
908171,174086,4.0
276186,2251739,5.0
330024,182915,5.0
351728,1497935,5.0
606693,1542652,4.0
126879,1406963,2.0
956351,1854157,5.0
214108,2872079,5.0
345053,1754771,4.0
407375,321674,3.0
804645,1312996,5.0
979773,1281865,5.0
268942,1829354,4.0
390300,1457605,5.0
375120,973512,5.0
597998,2884139,5.0
355308,1795313,5.0
970594,1048184,5.0
112436,298830,5.0
335862,131533,5.0
880778,1726756,5.0
871986,808736,4.0
234006,206536,5.0
870233,123793,5.0
742630,1923283,5.0
335330,1730182,5.0
208980,1851598,5.0
24792,2107747,5.0
948424,1472909,3.0
269712,259136,4.0
342682,619157,5.0
245758,132738,4.0
85681,135750,4.0
769732,1113191,5.0
468958,2410627,5.0
383116,126335,5.0
771780,962489,5.0
397123,982932,5.0
623308,2529552,5.0
576569,1091654,5.0
693094,130259,4.0
434928,2429745,5.0
321791,131533,5.0
925239,2712258,5.0
602505,193179,5.0
877347,1731468,4.0
821863,168610,4.0
169669,877767,5.0
367158,1379493,5.0
767667,806803,5.0
671344,1764436,5.0
297874,734229,4.0
53744,714374,5.0
203660,1126889,3.0
704778,1415952,5.0
650436,1009845,4.0
545501,1987884,5.0
669880,1896920,5.0
968848,714374,5.0
486976,1414750,4.0
538528,672419,5.0
428934,174086,5.0
713380,838983,5.0
333312,224876,5.0
350548,144931,5.0
172378,146684,5.0
627633,550590,5.0
65339,1469072,5.0
974850,144585,3.0
219194,1146287,5.0
496321,2904350,5.0
321146,655967,5.0
526461,883661,4.0
603920,191514,5.0
981029,181161,3.0
581264,417055,5.0
358518,722678,5.0
216819,740349,5.0
1066,125564,5.0
963584,1072520,5.0
975877,1671465,5.0
211039,1226293,5.0
664723,883661,5.0
189386,1111873,5.0
548864,386314,5.0
723815,152836,4.0
130278,125564,4.0
272941,1501987,4.0
41413,284665,5.0
755121,2158338,5.0
249024,153475,5.0
324537,1207360,5.0
76026,376859,5.0
270203,1557847,5.0
832715,1871026,2.0
222657,1851598,5.0
649616,1840637,4.0
738034,1453669,5.0
617526,1822664,5.0
950059,890105,4.0
986926,1261393,5.0
379856,992623,5.0
464298,180843,5.0
173819,193179,5.0
790516,167112,5.0
849315,2576170,5.0
281878,1920477,5.0
167010,374312,5.0
194525,141300,3.0
156353,979016,5.0
918700,1303995,5.0
5751,714374,5.0
704283,2155094,5.0
149491,1064880,5.0
303584,467817,4.0
898006,135750,1.0
74328,2343054,4.0
299660,141761,3.0
70197,174086,4.0
168438,1042783,4.0
329210,1108814,5.0
500128,131533,5.0
32925,985087,5.0
391310,1318793,4.0
250765,2809120,4.0
307411,127081,4.0
977243,1640697,4.0
471322,1523882,5.0
855337,188052,5.0
29786,145906,5.0
486610,188485,4.0
274558,138431,5.0
125767,139086,5.0
547377,199457,4.0
262402,2806944,3.0
517138,139086,5.0
863479,1973037,4.0
738480,722678,4.0
885043,2650125,5.0
15218,360595,5.0
748703,127865,5.0
449664,1153545,5.0
483798,1526552,2.0
915696,757774,5.0
979081,1689615,1.0
411449,1205016,5.0
921464,2533108,5.0
585892,2130194,4.0
613517,1420896,5.0
762967,180843,5.0
728134,987536,3.0
676918,123373,4.0
809490,1454376,5.0
52033,1057664,5.0
517457,1754771,5.0
739261,391525,5.0
318771,452942,4.0
884345,2686855,5.0
912090,182915,4.0
557692,2478188,5.0
302239,1551720,5.0
979614,1420770,5.0
29297,834814,4.0
649685,1010328,5.0
878547,2202458,4.0
965253,130259,3.0
855683,123793,5.0
509694,1581933,3.0
344452,938882,2.0
107270,156607,4.0
857203,181453,4.0
88691,126335,5.0
494310,164593,5.0
453477,1497935,5.0
246256,131117,4.0
47807,987052,5.0
